@relation trainingSet

@attribute ID numeric
@attribute t1 numeric
@attribute t2 numeric
@attribute t3 numeric
@attribute t4 numeric
@attribute t5 numeric
@attribute t6 numeric
@attribute t7 numeric
@attribute t8 numeric
@attribute t9 numeric
@attribute t10 numeric
@attribute t11 numeric
@attribute t12 numeric
@attribute t13 numeric
@attribute t14 numeric
@attribute t15 numeric
@attribute t16 numeric
@attribute t17 numeric
@attribute t18 numeric
@attribute t19 numeric
@attribute t20 numeric
@attribute t21 numeric
@attribute t22 numeric
@attribute t23 numeric
@attribute t24 numeric
@attribute t25 numeric
@attribute t26 numeric
@attribute t27 numeric
@attribute t28 numeric
@attribute t29 numeric
@attribute t30 numeric
@attribute class {0,1}

@data
10001893,0.15931036,0.06735811,0.02370402,0.84068964,1.00000000,1.00019212,0.00130787,242.0,13.0,1.0,2.00826446,0.09053265,2.00000000,0.00000000,2.00000000,0.00000000,0.99846963,0.00032169,0.99784362,0.00028716,0.99742133,0.00000000,0.99823445,0.00049338,0.99758612,0.00046951,0.99708079,0.00034055,6.45444752,4.75443478,1
10002866,0.13111510,0.05561510,0.02600208,0.86888490,1.00000000,0.99590559,0.00531788,1189.0,551.0,369.0,2.60555088,0.99282682,2.69147005,0.92313471,2.49593496,0.66716222,0.99877504,0.00537203,0.99878010,0.00533292,0.99836992,0.00553129,0.99851975,0.00538051,0.99846330,0.00539410,0.99816917,0.00552273,9.68118370,6.78991144,1
10004519,0.15601482,0.06418405,0.02099825,0.84398518,1.00000000,1.00046177,0.00043051,1005.0,199.0,40.0,2.19203980,0.49266896,2.14070352,0.40138142,2.17500000,0.49434300,0.99946407,0.00020705,0.99919042,0.00024491,0.99894191,0.00024840,0.99935287,0.00027774,0.99908063,0.00030353,0.99883080,0.00029222,7.17750678,4.98602337,1
10004738,0.15404392,0.06329618,0.02182856,0.84595608,1.00000000,0.99956981,0.00046173,1173.0,217.0,48.0,2.25490196,0.83649918,2.31797235,0.87214949,2.56250000,0.97694784,0.99973534,0.00044375,0.99952016,0.00051123,0.99917591,0.00060774,0.99964642,0.00049054,0.99939262,0.00056738,0.99902406,0.00061137,7.47906348,5.27660287,1
10005788,0.15331656,0.06373295,0.02199457,0.84668344,1.00000000,0.99841921,0.00236571,1271.0,264.0,42.0,2.21636507,0.51834908,2.09469697,0.32932769,2.04761905,0.21295885,0.99943853,0.00235721,0.99893566,0.00226855,0.99842656,0.00214885,0.99932720,0.00234914,0.99885621,0.00225917,0.99834846,0.00213280,7.55265540,5.24767706,1
10006581,0.15510347,0.06373088,0.02104369,0.84489653,1.00000000,0.99986394,0.00031780,1139.0,213.0,24.0,2.16681299,0.44574422,2.07511737,0.32715965,2.08333333,0.39965263,0.99964368,0.00016421,0.99949342,0.00018365,0.99934512,0.00021802,0.99957057,0.00020060,0.99942986,0.00021111,0.99928163,0.00023997,7.22685523,5.02977015,1
10010440,0.15477379,0.06432951,0.02075737,0.84522621,1.00000000,1.00000849,0.00039268,932.0,134.0,14.0,2.15772532,0.40624732,2.03731343,0.18952873,2.00000000,0.00000000,0.99959717,0.00026394,0.99943143,0.00027307,0.99924594,0.00024380,0.99951641,0.00028815,0.99936029,0.00028866,0.99916558,0.00025557,7.26352562,5.36185009,1
10018233,0.15335126,0.06450123,0.02164338,0.84664874,1.00000000,1.00030030,0.00039056,1139.0,171.0,15.0,2.12993854,0.37802813,2.02923977,0.16847790,2.00000000,0.00000000,0.99957278,0.00018506,0.99941787,0.00020245,0.99925501,0.00013705,0.99948891,0.00022208,0.99934361,0.00022692,0.99920119,0.00015838,7.26203905,5.16598230,1
10019065,0.15596023,0.06390386,0.02103907,0.84403977,1.00000000,0.99993647,0.00074159,1155.0,199.0,31.0,2.14025974,0.40051690,2.07035176,0.25573891,2.06451613,0.24567010,0.99959101,0.00064466,0.99941334,0.00064339,0.99924844,0.00045062,0.99951710,0.00065738,0.99934380,0.00064266,0.99917190,0.00047337,7.18596849,5.08790708,1
10019643,0.15449935,0.06573021,0.02313903,0.84550065,1.00000000,1.00003332,0.00040870,1223.0,291.0,61.0,2.24284546,0.64631473,2.17869416,0.53312250,2.21311475,0.48298098,0.99973596,0.00034969,0.99959729,0.00034635,0.99943360,0.00032948,0.99966351,0.00036633,0.99952124,0.00036196,0.99935877,0.00033452,7.42256472,5.18452960,1
11014932,0.15526430,0.06274930,0.02094995,0.84473570,1.00000000,1.00039350,0.00040719,1159.0,194.0,17.0,2.14322692,0.38993410,2.06185567,0.24089323,2.00000000,0.00000000,0.99952219,0.00017496,0.99933242,0.00018513,0.99901208,0.00022391,0.99942526,0.00022742,0.99924788,0.00023251,0.99895086,0.00024953,7.16083612,5.02127559,1
11015108,0.14872548,0.06110533,0.02195626,0.85127452,1.00000000,0.99984478,0.00038822,1165.0,229.0,63.0,2.34849785,1.19171311,2.89082969,2.03706993,4.23809524,2.37523122,0.99978909,0.00036977,0.99962900,0.00043053,0.99927737,0.00044518,0.99968047,0.00044260,0.99939072,0.00052905,0.99900945,0.00046639,7.93793664,5.56209014,1
