@relation validationSet

@attribute ID numeric
@attribute t1 numeric
@attribute t2 numeric
@attribute t3 numeric
@attribute t4 numeric
@attribute t5 numeric
@attribute t6 numeric
@attribute t7 numeric
@attribute t8 numeric
@attribute t9 numeric
@attribute t10 numeric
@attribute t11 numeric
@attribute t12 numeric
@attribute t13 numeric
@attribute t14 numeric
@attribute t15 numeric
@attribute t16 numeric
@attribute t17 numeric
@attribute t18 numeric
@attribute t19 numeric
@attribute t20 numeric
@attribute t21 numeric
@attribute t22 numeric
@attribute t23 numeric
@attribute t24 numeric
@attribute t25 numeric
@attribute t26 numeric
@attribute t27 numeric
@attribute t28 numeric
@attribute t29 numeric
@attribute t30 numeric
@attribute class {0,1}

@data
10297020,0.15678057,0.06767472,0.02343136,0.84321943,1.00000000,1.00000414,0.00028820,1123.0,265.0,51.0,2.25467498,0.52469128,2.07169811,0.27222172,2.01960784,0.13864839,0.99974839,0.00019781,0.99965033,0.00023133,0.99961373,0.00024575,0.99969489,0.00021506,0.99960957,0.00023845,0.99956776,0.00025709,7.79865017,5.29610915,0
10297111,0.15596426,0.06473751,0.02238822,0.84403574,1.00000000,1.00006413,0.00020131,902.0,162.0,20.0,2.13414634,0.36590909,2.08641975,0.30215403,2.00000000,0.00000000,0.99977067,0.00008802,0.99969557,0.00008857,0.99960949,0.00006038,0.99972841,0.00010531,0.99965896,0.00010362,0.99958418,0.00007340,7.15507536,4.94574827,0
10297156,0.15734169,0.06607631,0.02239264,0.84265831,1.00000000,0.99967239,0.00017180,973.0,164.0,15.0,2.13874615,0.38772172,2.03658537,0.18774152,2.00000000,0.00000000,0.99989754,0.00016229,0.99985103,0.00017948,0.99977077,0.00012090,0.99987918,0.00016376,0.99983849,0.00018039,0.99975838,0.00012788,7.16894135,4.99684980,0
10297164,0.15067280,0.06280845,0.02136500,0.84932720,1.00000000,1.00576686,0.00462608,1069.0,260.0,54.0,2.28157156,0.67165445,2.23846154,0.73697768,2.46296296,1.08376851,0.99857152,0.00439897,0.99779165,0.00412760,0.99809569,0.00415083,0.99842047,0.00440349,0.99790119,0.00421743,0.99867441,0.00444935,8.04886526,6.59255110,0
10297313,0.15841691,0.06615688,0.02341702,0.84158309,1.00000000,1.00001566,0.00027556,2081.0,770.0,220.0,2.52763095,0.82040918,2.25454545,0.51485604,2.11818182,0.33660925,0.99971589,0.00017728,0.99960560,0.00018342,0.99951777,0.00018042,0.99965067,0.00019549,0.99955331,0.00019512,0.99947805,0.00019166,9.97646146,6.66031281,0
10297395,0.15599360,0.06378439,0.02126146,0.84400640,1.00000000,0.99966104,0.00105367,767.0,139.0,26.0,2.14993481,0.40492003,2.02877698,0.16717914,2.00000000,0.00000000,0.99930562,0.00089343,0.99906444,0.00090462,0.99868379,0.00080417,0.99919118,0.00090841,0.99896317,0.00091321,0.99860858,0.00081036,7.20839813,5.06563283,0
10297486,0.15680400,0.06494070,0.02136452,0.84319600,1.00000000,1.00117167,0.00531602,890.0,172.0,18.0,2.14719101,0.41014930,2.06395349,0.26737866,2.05555556,0.22906142,0.99888094,0.00520038,0.99858058,0.00541670,0.99889228,0.00385330,0.99874661,0.00519125,0.99841984,0.00540303,0.99876759,0.00379165,7.10833482,4.84909232,0
10297585,0.15631788,0.06385508,0.02098447,0.84368212,1.00000000,0.99959484,0.00283257,990.0,194.0,28.0,2.22020202,0.57734673,2.15463918,0.55315787,2.35714286,0.81127262,0.99884761,0.00276289,0.99825816,0.00285076,0.99727107,0.00308756,0.99861564,0.00280772,0.99789119,0.00298713,0.99650654,0.00332349,7.32768670,5.24342752,0
10297588,0.15480775,0.06401597,0.02213844,0.84519225,1.00000000,0.99969551,0.00080246,923.0,141.0,12.0,2.16468039,0.41500640,2.02836879,0.16602411,2.00000000,0.00000000,0.99948948,0.00070349,0.99926062,0.00070302,0.99907978,0.00063585,0.99939846,0.00071444,0.99918226,0.00071903,0.99902367,0.00062621,7.20946184,5.08395106,0
10297638,0.13197422,0.05921851,0.02556427,0.86802578,1.00000000,1.00205766,0.00361081,912.0,368.0,143.0,3.19517544,1.75633527,3.17119565,1.67316957,3.55244755,1.57639192,0.99836681,0.00343719,0.99800959,0.00347719,0.99741669,0.00347874,0.99795521,0.00346045,0.99760444,0.00337166,0.99703240,0.00339924,13.69527525,15.50089526,0
11135675,0.15759250,0.06318519,0.02054529,0.84240750,1.00000000,1.00027029,0.00050416,1178.0,189.0,21.0,2.12988115,0.36288808,2.05291005,0.22385392,2.00000000,0.00000000,0.99944985,0.00022973,0.99923513,0.00023686,0.99903188,0.00026427,0.99934377,0.00027653,0.99915207,0.00026727,0.99898762,0.00026014,7.09287476,4.91448509,0
11135683,0.15879596,0.06759615,0.02390822,0.84120404,1.00000000,0.99997761,0.00034636,2183.0,992.0,340.0,3.59322034,1.42819903,3.08064516,1.07554768,2.65882353,0.82680023,0.99971029,0.00025695,0.99958398,0.00025907,0.99948242,0.00027488,0.99961548,0.00027805,0.99951376,0.00027373,0.99942910,0.00028119,15.42843691,10.01248724,0
11135705,0.15730337,0.06402154,0.02178638,0.84269663,1.00000000,1.00011252,0.00015403,1127.0,189.0,18.0,2.14995563,0.39703593,2.03174603,0.17532319,2.00000000,0.00000000,0.99982641,0.00006925,0.99976454,0.00007029,0.99970905,0.00006235,0.99979241,0.00008389,0.99973704,0.00008142,0.99969096,0.00006579,7.04734659,4.98989579,0
11135734,0.15407956,0.06388583,0.02249008,0.84592044,1.00000000,0.99965961,0.00028899,1211.0,228.0,41.0,2.18909992,0.51700730,2.13157895,0.44942767,2.24390244,0.78958117,0.99981005,0.00025038,0.99972624,0.00025278,0.99965426,0.00032840,0.99976552,0.00027277,0.99968012,0.00029855,0.99953017,0.00045420,7.39892665,5.28694334,0
11135751,0.15686208,0.06566162,0.02207940,0.84313792,1.00000000,1.00003584,0.00009143,1173.0,199.0,30.0,2.14919011,0.40551582,2.03015075,0.17100201,2.00000000,0.00000000,0.99989808,0.00004622,0.99985755,0.00004157,0.99982449,0.00003571,0.99987943,0.00005420,0.99984216,0.00004943,0.99981282,0.00004300,7.11275227,5.05564341,0
11135824,0.15726609,0.06469808,0.02169874,0.84273391,1.00000000,1.00030340,0.00027021,1175.0,176.0,17.0,2.14638298,0.39445317,2.04545455,0.20829890,2.00000000,0.00000000,0.99968478,0.00010478,0.99956844,0.00010306,0.99946880,0.00008178,0.99962302,0.00013951,0.99951035,0.00013773,0.99942560,0.00010343,7.07047267,4.98085909,0
11135880,0.16094113,0.06517211,0.02185494,0.83905887,1.00000000,1.00004783,0.00008847,1586.0,305.0,38.0,2.23013871,0.47841121,2.08524590,0.30181748,2.02631579,0.16007270,0.99991969,0.00007333,0.99988950,0.00007379,0.99987241,0.00003779,0.99990351,0.00007954,0.99987681,0.00007901,0.99986279,0.00004491,7.48194833,4.75248565,0
11135883,0.15564986,0.06154329,0.02116944,0.84435014,1.00000000,1.00032713,0.00069316,1174.0,186.0,17.0,2.12947189,0.37639041,2.05913978,0.25767219,2.00000000,0.00000000,0.99936748,0.00046064,0.99911929,0.00046307,0.99892898,0.00036447,0.99924112,0.00049422,0.99901086,0.00048294,0.99884134,0.00038315,7.18946914,5.09644389,0
11135893,0.15793585,0.06717633,0.02258601,0.84206415,1.00000000,0.99972659,0.00014353,1269.0,232.0,33.0,2.15445232,0.40459082,2.04741379,0.21252229,2.03030303,0.17141983,0.99984545,0.00007908,0.99978234,0.00007368,0.99972235,0.00006721,0.99981482,0.00009064,0.99975843,0.00008288,0.99970024,0.00007546,7.15987280,4.96374803,0
11135903,0.15511019,0.06386136,0.02174510,0.84488981,1.00000000,0.99952369,0.00081933,1110.0,200.0,28.0,2.15225225,0.42370031,2.04000000,0.19595918,2.00000000,0.00000000,0.99970580,0.00074388,0.99959375,0.00069574,0.99937350,0.00064350,0.99964289,0.00074565,0.99954602,0.00068964,0.99932055,0.00063096,7.31440623,4.99835600,0
3648607,0.15542907,0.06543850,0.02160515,0.84457093,1.00000000,1.00001431,0.00022256,1057.0,178.0,16.0,2.13245033,0.37853594,2.06179775,0.26308695,2.00000000,0.00000000,0.99974970,0.00010024,0.99967596,0.00009335,0.99961369,0.00008305,0.99970136,0.00012359,0.99963080,0.00011766,0.99957788,0.00009937,7.07136678,4.94373874,0
