@relation validationSetTEST

@attribute ID numeric
@attribute t1 numeric
@attribute t2 numeric
@attribute t3 numeric
@attribute t4 numeric
@attribute t5 numeric
@attribute t6 numeric
@attribute t7 numeric
@attribute t8 numeric
@attribute t9 numeric
@attribute t10 numeric
@attribute t11 numeric
@attribute t12 numeric
@attribute t13 numeric
@attribute t14 numeric
@attribute t15 numeric
@attribute t16 numeric
@attribute t17 numeric
@attribute t18 numeric
@attribute t19 numeric
@attribute t20 numeric
@attribute t21 numeric
@attribute t22 numeric
@attribute t23 numeric
@attribute t24 numeric
@attribute t25 numeric
@attribute t26 numeric
@attribute t27 numeric
@attribute t28 numeric
@attribute t29 numeric
@attribute t30 numeric
@attribute class {0,1}

@data
3648607,0.15542907,0.06543850,0.02160515,0.84457093,1.00000000,1.00001431,0.00022256,1057.0,178.0,16.0,2.13245033,0.37853594,2.06179775,0.26308695,2.00000000,0.00000000,0.99974970,0.00010024,0.99967596,0.00009335,0.99961369,0.00008305,0.99970136,0.00012359,0.99963080,0.00011766,0.99957788,0.00009937,7.07136678,4.94373874,0
3648647,0.15733095,0.06479777,0.02266870,0.84266905,1.00000000,1.00001396,0.00011400,1141.0,200.0,26.0,2.14986854,0.40523792,2.03500000,0.18377976,2.03846154,0.19230769,0.99989858,0.00008119,0.99985655,0.00007722,0.99982390,0.00007238,0.99987878,0.00008462,0.99983967,0.00008013,0.99981228,0.00007303,7.13129933,5.06433153,0
3648665,0.15615676,0.06514960,0.02162663,0.84384324,1.00000000,1.00056985,0.00046044,1109.0,164.0,6.0,2.14156898,0.39010954,2.06097561,0.23928557,2.16666667,0.37267800,0.99950045,0.00022671,0.99933178,0.00020937,0.99911336,0.00024000,0.99940360,0.00026795,0.99926166,0.00023434,0.99902852,0.00025184,7.08669851,5.06091233,0
3648674,0.15858907,0.06777695,0.02359656,0.84141093,1.00000000,1.00000419,0.00037208,2233.0,798.0,199.0,2.44961935,0.74716427,2.20175439,0.46764694,2.08040201,0.27191456,0.99958194,0.00021032,0.99942891,0.00021380,0.99927429,0.00021807,0.99949238,0.00024023,0.99936101,0.00023525,0.99921178,0.00023049,9.19950434,6.53847127,0
4570627,0.15365266,0.06400609,0.02187791,0.84634734,1.00000000,1.00072043,0.00042732,834.0,137.0,9.0,2.11151079,0.33326647,2.04379562,0.23764702,2.00000000,0.00000000,0.99952745,0.00021946,0.99936071,0.00022575,0.99921624,0.00011624,0.99943965,0.00025646,0.99928241,0.00025029,0.99915513,0.00014874,7.15530788,5.13853376,0
7353107,0.15571338,0.06584340,0.02354957,0.84428662,1.00000000,0.99968418,0.00034024,1578.0,454.0,95.0,2.44930292,0.77934531,2.25991189,0.55794304,2.16842105,0.47356724,0.99968597,0.00025346,0.99958905,0.00023323,0.99949645,0.00019831,0.99962563,0.00026101,0.99954197,0.00024067,0.99945367,0.00020476,8.78652322,6.65525956,0
8075345,0.15728498,0.06525723,0.02078152,0.84271502,1.00000000,1.00161776,0.00741087,653.0,137.0,16.0,2.21133231,0.55733469,2.10948905,0.41290907,2.06250000,0.24206146,0.99859214,0.00760172,0.99819441,0.00765967,0.99535232,0.00786594,0.99835683,0.00760998,0.99793674,0.00765638,0.99507954,0.00782559,7.33323615,5.18042152,0
9080143,0.15515833,0.06335178,0.02159514,0.84484167,1.00000000,0.99995814,0.00041518,1049.0,175.0,21.0,2.13918017,0.40218623,2.03428571,0.18196210,2.04761905,0.21295885,0.99952573,0.00018104,0.99935113,0.00018249,0.99922690,0.00017088,0.99943215,0.00023545,0.99926115,0.00023956,0.99915959,0.00019915,7.22988871,5.18054912,0
10297020,0.15678057,0.06767472,0.02343136,0.84321943,1.00000000,1.00000414,0.00028820,1123.0,265.0,51.0,2.25467498,0.52469128,2.07169811,0.27222172,2.01960784,0.13864839,0.99974839,0.00019781,0.99965033,0.00023133,0.99961373,0.00024575,0.99969489,0.00021506,0.99960957,0.00023845,0.99956776,0.00025709,7.79865017,5.29610915,0
11135675,0.15759250,0.06318519,0.02054529,0.84240750,1.00000000,1.00027029,0.00050416,1178.0,189.0,21.0,2.12988115,0.36288808,2.05291005,0.22385392,2.00000000,0.00000000,0.99944985,0.00022973,0.99923513,0.00023686,0.99903188,0.00026427,0.99934377,0.00027653,0.99915207,0.00026727,0.99898762,0.00026014,7.09287476,4.91448509,0
2693736,0.15384746,0.06351438,0.02119405,0.84615254,1.00000000,1.00047322,0.00050666,1149.0,220.0,24.0,2.15665796,0.44915700,2.10000000,0.36804150,2.00000000,0.00000000,0.99943634,0.00028713,0.99923604,0.00029269,0.99902442,0.00031822,0.99932698,0.00033029,0.99914010,0.00033102,0.99894613,0.00036391,7.35911352,5.26743824,1
3847138,0.15563797,0.06552278,0.02197765,0.84436203,1.00000000,1.00001278,0.00039792,1192.0,239.0,41.0,2.23406040,0.61694280,2.15062762,0.42207599,2.04878049,0.21540880,0.99971081,0.00033273,0.99956433,0.00032392,0.99941551,0.00035904,0.99964656,0.00034290,0.99950485,0.00032994,0.99937485,0.00036722,7.38800490,5.03047657,1
3869014,0.15536704,0.06408777,0.02115145,0.84463296,1.00000000,1.00003365,0.00036621,848.0,147.0,25.0,2.13443396,0.36773550,2.05442177,0.25507936,2.00000000,0.00000000,0.99960195,0.00021630,0.99943512,0.00022955,0.99932098,0.00036344,0.99952898,0.00024257,0.99937600,0.00025310,0.99928136,0.00036601,7.11463605,5.00115750,1
4831728,0.15548379,0.06289405,0.02074256,0.84451621,1.00000000,0.99965106,0.00042053,1142.0,189.0,19.0,2.14098074,0.42502921,2.06878307,0.41215539,2.21052632,0.89318751,0.99961789,0.00024777,0.99947835,0.00040018,0.99910881,0.00099636,0.99952883,0.00035749,0.99935797,0.00069450,0.99859545,0.00169050,7.22174043,5.24136563,1
5866724,0.12432321,0.05684182,0.03087025,0.87567679,1.00000000,0.99986329,0.00010589,993.0,451.0,289.0,3.48741188,1.93710071,4.20177384,2.11248983,4.48788927,1.65565782,0.99988639,0.00010204,0.99981787,0.00010193,0.99975392,0.00009122,0.99981633,0.00013018,0.99974610,0.00011490,0.99970426,0.00009734,11.93368072,8.81543249,1
6929841,0.15595762,0.06408339,0.02076302,0.84404238,1.00000000,1.00086607,0.00274150,979.0,194.0,13.0,2.17773238,0.46432985,2.08247423,0.31030757,2.00000000,0.00000000,0.99942237,0.00269384,0.99900771,0.00262654,1.00036543,0.00267230,0.99932823,0.00268597,0.99891641,0.00263737,1.00029789,0.00269032,7.42741469,4.97081169,1
7849854,0.03721809,0.03534558,0.03375478,0.96278191,1.00000000,0.99569834,0.00264418,626.0,625.0,623.0,3.56389776,0.57357142,3.40000000,0.57965507,3.25842697,0.55715578,0.99175073,0.00288298,0.99059183,0.00277797,0.98979657,0.00239209,0.98850049,0.00295998,0.98817898,0.00263434,0.98790776,0.00234521,90.53822153,18.79876658,1
8883593,0.15275962,0.06370862,0.02283050,0.84724038,1.00000000,0.99991649,0.00059037,1112.0,257.0,82.0,2.34082734,0.78189175,2.32295720,0.67239786,2.21951220,0.51854370,0.99926650,0.00032739,0.99885320,0.00036559,0.99846679,0.00032829,0.99906425,0.00045317,0.99866274,0.00045319,0.99831317,0.00040137,7.57320138,5.30992627,1
9955598,0.15635827,0.06647623,0.02342425,0.84364173,1.00000000,0.99984739,0.00012617,1335.0,330.0,66.0,2.29962547,0.63608694,2.21818182,0.62834778,2.48484848,0.97300572,0.99995985,0.00012592,0.99994255,0.00013489,0.99994086,0.00010441,0.99995081,0.00012822,0.99993166,0.00013395,0.99991965,0.00010773,7.81180168,5.40876465,1
10965588,0.15500749,0.06394527,0.02143986,0.84499251,1.00000000,0.99757573,0.00226523,964.0,175.0,21.0,2.19190871,0.46839632,2.07428571,0.26223529,2.04761905,0.21295885,0.99950260,0.00208344,0.99927591,0.00205104,0.99896859,0.00119798,0.99937886,0.00208854,0.99917322,0.00207509,0.99874752,0.00157869,7.37432658,5.14606873,1
